Campaign report
"July 8, 2026 - August 4, 2026"
Campaign status	Campaign	Budget	Budget name	Budget type	Currency code	Status	Status reasons	Optimization score	Campaign type	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. (Platform Comparable)	Cost / Conv. (Platform Comparable)	Conv. value / Cost (Platform Comparable)	Bid strategy type	Clicks	Conv. rate	Conversions	Avg. CPC	Cost / conv.
Enabled	Ohio Flood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	62.37	Search	873.20	611	38	6.22%	14.04	533.53	0.00	0	0.00	Maximize Conversions	38	28.95%	11.00	14.04	48.50
Enabled	Pest Control Business Insurance	15.00	 --	Daily	USD	Eligible		62.00	Search	408.16	979	24	2.45%	16.65	399.59	0.00	0	0.00	Maximize Conversions	24	33.33%	8.00	16.65	49.95
Enabled	Max Conversion - Physical Damage & Cargo Insurance - Date: Feb 2025	50.00	 --	Daily	USD	Eligible (Limited)	limited by budget	53.01	Search	1241.97	"1,449"	125	8.63%	14.40	1799.61	0.00	0	0.00	Target CPA	125	64.00%	80.00	14.40	22.50
Enabled	Performance Max Feb 3 2022	20.00	 --	Daily	USD	Eligible		73.84	Performance Max	44.20	"12,328"	642	5.21%	0.85	544.93	0.00	0	0.00	Maximize Conversions	642	10.59%	68.00	0.85	8.01
Enabled	Sober Living Insurance	20.00	 --	Daily	USD	Eligible		62.88	Search	5499.64	56	9	16.07%	34.22	307.98	0.00	0	0.00	Maximize Conversions	9	44.44%	4.00	34.22	77.00
Enabled	Washington Flood Insurance - Max conversions	15.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	54.03	Search	830.36	444	34	7.66%	10.84	368.68	0.00	0	0.00	Target CPA	34	26.47%	9.00	10.84	40.96
Paused	Massachusetts Flood Insurance	15.00	 --	Daily	USD	Paused	campaign paused	 --	Search	0	0	0	 --	0	0.00	0.00	0	0	CPC (enhanced)	0	0.00%	0.00	0	0.00
Paused	Restaurant Insurance	20.00	 --	Daily	USD	Paused	campaign paused; most ads disapproved	 --	Search	0	0	0	 --	0	0.00	0.00	0	0	CPC (enhanced)	0	0.00%	0.00	0	0.00
Enabled	Oklahoma Flood Insurance	20.00	 --	Daily	USD	Eligible		83.60	Search	185.49	461	60	13.02%	1.43	85.51	0.00	0	0.00	CPC (enhanced)	60	0.00%	0.00	1.43	0.00
Enabled	Max Conversion - New Venture | Authority | DOT Insurance - Date: May 2026	150.00	 --	Daily	USD	Eligible		73.45	Search	3449.13	192	22	11.46%	30.10	662.23	0.00	0	0.00	Target CPA	22	50.00%	11.00	30.10	60.20
Enabled	Max Conversion - General Truck Insurance - Date: Feb 2025	100.00	 --	Daily	USD	Eligible (Limited)	limited by budget	65.06	Search	1710.03	"1,556"	144	9.25%	18.48	2660.81	0.00	0	0.00	Target CPA	144	31.94%	46.00	18.48	57.84
Enabled	Michigan Flood Insurance - Max Conversions	15.00	 --	Daily	USD	Eligible		68.63	Search	739.01	547	32	5.85%	12.63	404.24	0.00	0	0.00	Maximize Conversions	32	34.38%	11.00	12.63	36.75
Enabled	Michigan Flood Insurance	15.00	 --	Daily	USD	Eligible (Limited)	limited by budget	79.60	Search	367.62	716	45	6.28%	5.85	263.22	0.00	0	0.00	CPC (enhanced)	45	6.67%	3.00	5.85	87.74
Enabled	New Jersey Flood Insurance	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor; some ads limited by policy	76.05	Search	301.24	"1,239"	78	6.30%	4.79	373.24	0.00	0	0.00	CPC (enhanced)	78	2.56%	2.00	4.79	186.62
Enabled	Virginia Flood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible		52.72	Search	712.79	757	48	6.34%	11.24	539.58	0.00	0	0.00	Maximize Conversions	48	14.58%	7.00	11.24	77.08
Enabled	California Flood Insurance	70.00	 --	Daily	USD	Eligible (Limited)	limited by budget; some ads disapproved	82.75	Search	436.15	"4,024"	245	6.09%	7.16	1755.07	0.00	0	0.00	CPC (enhanced)	245	11.02%	27.00	7.16	65.00
Enabled	Georgia Flood Insurance - Max Conversions	15.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	64.29	Search	761.19	548	40	7.30%	10.43	417.13	0.00	0	0.00	Maximize Conversions	40	17.50%	7.00	10.43	59.59
Enabled	North Carolina Flood Insurance - Max Conversions	15.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	56.29	Search	639.33	636	53	8.33%	7.67	406.61	0.00	0	0.00	Maximize Conversions	53	24.53%	13.00	7.67	31.28
Enabled	Connecticut Flood Insurance	20.00	 --	Daily	USD	Eligible (Limited)	ad strength is poor	83.65	Search	323.97	612	34	5.56%	5.83	198.27	0.00	0	0.00	CPC (enhanced)	34	5.88%	2.00	5.83	99.13
Enabled	Demand Gen - Statewide Flood - 24 States	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget	87.60	Demand Gen	23.92	"14,616"	"5,199"	35.57%	0.07	349.56	26.00	13.44	0.00	Maximize Conversions	694	0.50%	26.00	0.50	13.44
Paused	Dog Insurance	25.00	 --	Daily	USD	Paused	campaign paused	 --	Search	0	0	0	 --	0	0.00	0.00	0	0	Maximize clicks	0	0.00%	0.00	0	0.00
Enabled	South Carolina Flood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	48.14	Search	947.17	629	51	8.11%	11.68	595.77	0.00	0	0.00	Maximize Conversions	51	25.49%	13.00	11.68	45.83
Enabled	California Flood Insurance - Max Conversions	75.00	 --	Daily	USD	Eligible (Limited)	limited by budget	61.21	Search	966.22	"2,276"	234	10.28%	9.40	2199.12	0.00	0	0.00	Maximize Conversions	234	18.43%	43.12	9.40	51.00
Enabled	Florida Flood Insurance - Max Conversions	25.00	 --	Daily	USD	Eligible (Limited)	limited by budget	50.16	Search	368.84	"1,955"	113	5.78%	6.38	721.08	0.00	0	0.00	Maximize Conversions	113	23.01%	26.00	6.38	27.73
Paused	Florida Flood Insurance	20.00	 --	Daily	USD	Paused	campaign paused	 --	Search	0	0	0	 --	0	0.00	0.00	0	0	CPC (enhanced)	0	0.00%	0.00	0	0.00
Enabled	Mississippi Flood Insurance	20.00	 --	Daily	USD	Eligible	some ads limited by policy	82.04	Search	334.29	837	50	5.97%	5.60	279.80	0.00	0	0.00	CPC (enhanced)	50	6.00%	3.00	5.60	93.27
Enabled	Idaho Flood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible (Limited)	search volume limited; some ads limited by policy	66.19	Search	916.30	127	10	7.87%	11.64	116.37	0.00	0	0.00	Target CPA	10	20.00%	2.00	11.64	58.19
Enabled	TennesseeFlood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget; ad strength is poor	54.06	Search	1026.74	513	48	9.36%	10.97	526.72	0.00	0	0.00	Maximize Conversions	48	20.83%	10.00	10.97	52.67
Enabled	Short term Rental Insurance	75.00	 --	Daily	USD	Eligible (Learning)	bidding strategy learning	87.86	Search	374.49	"1,744"	99	5.68%	6.60	653.12	0.00	0	0.00	Maximize clicks	99	2.02%	2.00	6.60	326.56
Paused	Ohio Flood Insurance	15.00	 --	Daily	USD	Paused	campaign paused	 --	Search	0	0	0	 --	0	0.00	0.00	0	0	CPC (enhanced)	0	0.00%	0.00	0	0.00
Enabled	New York Flood Insurance	20.00	 --	Daily	USD	Eligible (Limited)	limited by budget; some ads limited by policy	63.30	Search	604.31	"1,006"	68	6.76%	8.94	607.94	0.00	0	0.00	Target CPA	68	16.18%	11.00	8.94	55.27
Enabled	New Mexico Flood Insurance - Max Conversions	20.00	 --	Daily	USD	Eligible		64.89	Search	1373.36	358	31	8.66%	15.86	491.66	0.00	0	0.00	Maximize Conversions	31	22.58%	7.00	15.86	70.24
Enabled	Rhode Island Flood Insurance - Max conversions	10.00	 --	Daily	USD	Eligible (Limited)	ad strength is poor; search volume limited; some ads limited by policy	69.81	Search	965.01	187	14	7.49%	12.89	180.46	0.00	0	0.00	Target CPA	14	21.43%	3.00	12.89	60.15
