# site=sc-domain:californiafloodinsurance.com start=2026-05-13 end=2026-08-11 rows=66
query,page,clicks,impressions,ctr,position
11 great oaks boulevard san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,3,0,9.67
1200 w 7th st los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,1,0,10
1200 w 7th street los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,8,0,10.75
1200 w 7th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,11
1200 w 7th street los angeles flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,1,0,10
12270 world trade drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,1,0,9
123 great oaks blvd san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,1,0,24
1402 k street san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,13,0,9.69
1735 lundy ave san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,1,0,10
1735 lundy avenue san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,2,0,11
2001 fortune drive san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,5,0,8
2030 fortune drive san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,32,0,9.53
2030 fortune drive san jose flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,3
221 w winton hayward fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,2,0,10.5
2345 alaska avenue el segundo flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,11
3180 university ave san diego flood zone fema,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,2,0,10
3250 wilshire blvd los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,2,0,8.5
360 e 2nd street los angeles fema flood zone,https://californiafloodinsurance.com/flood-zone-ae/,0,7,0,10.29
360 e 2nd street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,10
3807 coronado ave stockton fema flood zone,https://californiafloodinsurance.com/stockton-flood-insurance/,0,4,0,9.75
3807 coronado avenue stockton flood zone,https://californiafloodinsurance.com/stockton-flood-insurance/,0,14,0,9.57
414 w bedford fresno fema flood zone,https://californiafloodinsurance.com/fresno-flood-insurance/,0,32,0,5.19
414 w bedford fresno flood zone,https://californiafloodinsurance.com/fresno-flood-insurance/,0,13,0,7.31
4701 north first street san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,41,0,7.93
4701 s santa fe vernon fema flood zone,https://californiafloodinsurance.com/navigating-flood-zone-x/,0,1,0,9
5 great oaks boulevard san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,6,0,9.5
525 b street san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,70,0,9.06
525 b street san diego flood zone fema,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,3,0,10.67
530 w 6th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,4,0,9.5
530 west 6th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,9
534 stockton ave san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,2,0,9.5
534 stockton avenue san jose flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,2,0,8
55 s market street san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,24,0,9.08
55 south market street san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,62,0,9.15
5761 copley drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,1,0,11
600 w 7th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,14,0,10.07
600 west 7th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,10
626 wilshire blvd los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,3,0,11
626 wilshire fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,4,0,11
650 s grand ave los angeles fema flood zone,https://californiafloodinsurance.com/flood-zone-ae/,0,1,0,10
650 s grand ave los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,11
650 s grand avenue los angeles fema flood zone,https://californiafloodinsurance.com/flood-zone-ae/,0,9,0,9.89
650 s grand avenue los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,2,0,9
7 great oaks boulevard san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,7,0,8
700 wilshire blvd los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,7,0,8.43
700 wilshire boulevard los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,37,0,9.16
700 wilshire boulevard los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,8
700 wilshire los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,60,0,8.98
700 wilshire los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,11
707 wilshire blvd los angeles fema flood zone,https://californiafloodinsurance.com/flood-zone-ae/,0,1,0,8
707 wilshire fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,2,0,10.5
707 wilshire los angeles fema flood zone,https://californiafloodinsurance.com/flood-zone-ae/,0,27,0,7.07
800 south hope street los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,1,0,11
8915 complex drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,31,0,8.52
8915 complex drive san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,9,0,7
8917 complex drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,2,0,10.5
8929 aero drive san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,6,0,8.17
8939 complex drive san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,3,0,9.67
8971 complex drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,1,0,8
9 great oaks boulevard san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,1,0,11
9305 lightwave ave san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,1,0,10
9530 towne centre drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,7,0,9
9725 scranton road san diego fema flood map,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,3,0,9.67
9725 scranton road san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,15,0,9.87
9725 scranton road san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,42,0,9.86
9725 scranton road san diego flood zone fema,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,8,0,8.12
