# site=https://californiafloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=117
query,page,clicks,impressions,ctr,position
10 year flood zone,https://californiafloodinsurance.com/navigating-flood-zone-x/,0,39,0,30.9
100 year flood map texas,https://californiafloodinsurance.com/navigating-flood-zone-x/,0,1,0,3
1099 15th st sacramento ca fema flood zone,https://californiafloodinsurance.com/sacramento-flood-insurance/,0,5,0,10.8
1099 15th st sacramento flood zone fema,https://californiafloodinsurance.com/sacramento-flood-insurance/,0,2,0,11
11 great oaks boulevard san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,3,0,9.67
1200 striker ave sacramento fema flood zone,https://californiafloodinsurance.com/sacramento-flood-insurance/,0,2,0,11
1200 w 7th st los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,31,0,10.81
1200 w 7th street los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,10,0,10.6
1200 w 7th street los angeles fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,11
1200 w 7th street los angeles flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,1,0,10
1200 west 7th street los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,6,0,10.83
12270 world trade drive san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,15,0,8.4
123 great oaks blvd san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,1,0,24
12950 culver blvd los angeles fema flood zone,https://californiafloodinsurance.com/los-angeles-flood-insurance/,0,2,0,11
1313 53rd street emeryville ca fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,3,0,10
1402 k street san diego fema flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,1,0,1
1402 k street san diego flood zone,https://californiafloodinsurance.com/san-diego-flood-insurance/,0,13,0,9.69
1735 lundy ave san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,14,0,10.79
1735 lundy avenue san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,8,0,10.88
1750 west penhall way anaheim ca fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,5,0,10.2
2001 fortune drive san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,12,0,8.08
2030 fortune drive san jose fema flood zone,https://californiafloodinsurance.com/san-jose-flood-insurance/,0,34,0,9.5
2030 fortune drive san jose flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,3
221 w winton ave hayward ca fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,9,0,10.89
221 w winton ave hayward ca flood zone fema,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,1,0,10
221 w winton hayward fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,2,0,10.5
233 west voorman avenue fresno ca fema flood zone,https://californiafloodinsurance.com/fresno-flood-insurance/,0,58,0,9.07
233 west voorman avenue fresno ca flood zone,https://californiafloodinsurance.com/fresno-flood-insurance/,0,35,0,8.06
233 west voorman avenue fresno ca flood zone fema,https://californiafloodinsurance.com/fresno-flood-insurance/,0,66,0,6.55
233 west voorman avenue fresno ca flood zone seismic risk,https://californiafloodinsurance.com/fresno-flood-insurance/,0,3,0,10
2345 alaska ave el segundo ca fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,5,0,8.6
2345 alaska ave el segundo fema flood zone,https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,3,0,9.67
