# site=https://californiafloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=91
date,clicks,impressions,ctr,position
2026-05-13,3,1074,0.28,14.23
2026-05-14,6,1100,0.55,14.23
2026-05-15,4,848,0.47,14.19
2026-05-16,5,607,0.82,17.71
2026-05-17,4,592,0.68,17.86
2026-05-18,8,775,1.03,17.73
2026-05-19,6,597,1.01,15.63
2026-05-20,12,698,1.72,18.98
2026-05-21,6,514,1.17,13.51
2026-05-22,11,680,1.62,16.08
2026-05-23,2,741,0.27,19.93
2026-05-24,2,795,0.25,18.53
2026-05-25,2,780,0.26,20.68
2026-05-26,9,777,1.16,17.03
2026-05-27,6,948,0.63,21.3
2026-05-28,8,762,1.05,16.95
2026-05-29,4,902,0.44,19.6
2026-05-30,1,610,0.16,19.4
2026-05-31,2,740,0.27,19.84
2026-06-01,9,807,1.12,18.55
2026-06-02,5,555,0.9,18.32
2026-06-03,6,834,0.72,22.69
2026-06-04,8,730,1.1,18.25
2026-06-05,2,568,0.35,18.55
2026-06-06,1,445,0.22,21.32
2026-06-07,1,607,0.16,24.18
2026-06-08,7,578,1.21,22.55
2026-06-09,6,580,1.03,17.3
2026-06-10,8,527,1.52,18.04
2026-06-11,8,579,1.38,21.8
2026-06-12,2,614,0.33,25.75
2026-06-13,4,543,0.74,25.19
2026-06-14,3,503,0.6,23.14
2026-06-15,3,676,0.44,24.11
2026-06-16,7,659,1.06,19.27
2026-06-17,7,901,0.78,18.17
2026-06-18,9,829,1.09,17.66
2026-06-19,7,738,0.95,17.61
2026-06-20,6,916,0.66,19.97
2026-06-21,0,812,0,21.28
2026-06-22,7,844,0.83,16.51
2026-06-23,9,846,1.06,17.98
2026-06-24,6,1015,0.59,20.36
2026-06-25,7,984,0.71,20.06
2026-06-26,8,798,1.0,19.44
2026-06-27,5,961,0.52,22.11
2026-06-28,2,1265,0.16,20.56
2026-06-29,17,1553,1.09,17.69
2026-06-30,21,1593,1.32,19.14
2026-07-01,9,1639,0.55,21.79
2026-07-02,8,1359,0.59,16.69
2026-07-03,3,1175,0.26,16.47
2026-07-04,4,1056,0.38,22.01
2026-07-05,8,1331,0.6,20.36
2026-07-06,8,1697,0.47,17.98
2026-07-07,6,1579,0.38,17.9
2026-07-08,16,1851,0.86,20.27
2026-07-09,7,1780,0.39,18.14
2026-07-10,5,1770,0.28,17.47
2026-07-11,6,1465,0.41,17.45
2026-07-12,10,1749,0.57,16.78
2026-07-13,22,2195,1.0,15.86
2026-07-14,9,2054,0.44,17.27
2026-07-15,11,1461,0.75,14.99
2026-07-16,11,1876,0.59,14.71
2026-07-17,14,2109,0.66,16.31
2026-07-18,9,1473,0.61,15.67
2026-07-19,7,1750,0.4,16.56
2026-07-20,18,2064,0.87,13.03
2026-07-21,15,1760,0.85,12.47
2026-07-22,18,1826,0.99,11.95
2026-07-23,8,1835,0.44,13.3
2026-07-24,12,1959,0.61,14.16
2026-07-25,5,1447,0.35,15.14
2026-07-26,11,1704,0.65,16.08
2026-07-27,15,2231,0.67,13.12
2026-07-28,21,1996,1.05,13.55
2026-07-29,12,2615,0.46,18.74
2026-07-30,12,2153,0.56,15.2
2026-07-31,8,1860,0.43,13.39
2026-08-01,9,1920,0.47,16.31
2026-08-02,7,1928,0.36,15.56
2026-08-03,24,2251,1.07,12.5
2026-08-04,26,2587,1.01,16.23
2026-08-05,17,2412,0.7,15.93
2026-08-06,23,2356,0.98,14.96
2026-08-07,24,2181,1.1,12.27
2026-08-08,13,2463,0.53,14.53
2026-08-09,13,2842,0.46,16.34
2026-08-10,29,3290,0.88,13.91
2026-08-11,21,3002,0.7,12.58
