# site=https://californiafloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=132
page,clicks,impressions,ctr,position
https://californiafloodinsurance.com/,244,16290,1.5,12.29
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,96,11739,0.82,12.35
https://californiafloodinsurance.com/how-much-does-flood-insurance-cost/,70,19311,0.36,17.35
https://californiafloodinsurance.com/navigating-flood-zone-x/,58,14882,0.39,11.35
https://californiafloodinsurance.com/when-is-flood-insurance-required/,43,5155,0.83,27.13
https://californiafloodinsurance.com/contact-us/,40,3888,1.03,19.65
https://californiafloodinsurance.com/flood-insurance-rates/,37,4711,0.79,36.05
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/,30,5382,0.56,11.73
https://californiafloodinsurance.com/flood-zone-ae/,24,7093,0.34,18.01
https://californiafloodinsurance.com/el-nino-california-flood-risk/,17,525,3.24,5.21
https://californiafloodinsurance.com/master-flood-policies-hoas/,17,1856,0.92,16.17
https://californiafloodinsurance.com/service-center/,15,498,3.01,25.87
https://californiafloodinsurance.com/can-flood-insurance-drop-you/,12,986,1.22,6.99
https://californiafloodinsurance.com/flood-zone-ah-and-ao/,12,3818,0.31,13.46
https://californiafloodinsurance.com/comparing-the-admitted-vs-non-admitted-insurance-markets/,11,1576,0.7,30.31
https://californiafloodinsurance.com/loss-of-use-coverage-in-flood-insurance/,11,1524,0.72,6.71
https://californiafloodinsurance.com/commercial-flood-insurance/,8,7326,0.11,31.44
https://californiafloodinsurance.com/flood-zone-v-and-ve/,8,2812,0.28,16.56
https://californiafloodinsurance.com/sacramento-flood-insurance/,7,864,0.81,13.25
https://californiafloodinsurance.com/do-you-need-flood-insurance/,6,585,1.03,36.31
https://californiafloodinsurance.com/faqs/,6,1159,0.52,31.06
https://californiafloodinsurance.com/flood-zone-a/,6,2548,0.24,36.71
https://californiafloodinsurance.com/hiscox-flood-plus-comprehensive-flood-insurance-coverage/,6,290,2.07,11.84
https://californiafloodinsurance.com/residential/,6,7268,0.08,43.6
https://californiafloodinsurance.com/san-diego-flood-insurance/,6,2227,0.27,11.72
https://californiafloodinsurance.com/understanding-base-flood-elevation-bfe/,6,2977,0.2,22.03
https://californiafloodinsurance.com/mobile/contact.php,5,1531,0.33,12.59
https://californiafloodinsurance.com/california-flood-insurance-quotes/,4,1800,0.22,51.84
https://californiafloodinsurance.com/long-beach-flood-insurance/,4,745,0.54,7.24
https://californiafloodinsurance.com/aaron-farmer/,2,86,2.33,8.84
https://californiafloodinsurance.com/excess-flood-insurance/,2,72,2.78,32.69
https://californiafloodinsurance.com/homeownwers-association-flood-insurance/,2,886,0.23,38.59
https://californiafloodinsurance.com/how-risk-rating-2-0-affects-federal-flood-insurance-policy-holders/,2,379,0.53,22.16
https://californiafloodinsurance.com/los-angeles-flood-insurance/,2,822,0.24,17.4
https://californiafloodinsurance.com/areas-we-serve/,1,836,0.12,24.16
https://californiafloodinsurance.com/facts-about-floods/,1,17,5.88,23.82
https://californiafloodinsurance.com/flood-claim-guide/,1,274,0.36,4.59
https://californiafloodinsurance.com/fresno-flood-insurance/,1,1393,0.07,9.32
https://californiafloodinsurance.com/post-wildfire-debris-flow-flood-insurance/,1,19,5.26,11.16
https://californiafloodinsurance.com/privacy-policy/,1,171,0.58,14.64
https://californiafloodinsurance.com/riverside-flood-insurance/,1,340,0.29,20.11
https://californiafloodinsurance.com/san-jose-flood-insurance/,1,1634,0.06,8.68
https://californiafloodinsurance.com/terms-of-service/,1,211,0.47,27.54
https://californiafloodinsurance.com/what-does-flood-insurance-not-cover/,1,40,2.5,26.98
https://californiafloodinsurance.com/after-a-flood/,0,18,0,10.94
https://californiafloodinsurance.com/atmospheric-rivers-california-flood-insurance/,0,14,0,11.93
https://californiafloodinsurance.com/before-a-flood/,0,16,0,12.31
https://californiafloodinsurance.com/calflood-newstalk-kbkw-discussing-flood-insurance/,0,2,0,8.5
https://californiafloodinsurance.com/california-flood-preparedness-week-starts-now/,0,16,0,11.38
https://californiafloodinsurance.com/can-flood-insurance-be-sold-anywhere/,0,21,0,5.05
https://californiafloodinsurance.com/category/insights/,0,8,0,4.88
https://californiafloodinsurance.com/category/insights/page/2/?et_blog,0,3,0,2.33
https://californiafloodinsurance.com/claims/,0,180,0,46.27
https://californiafloodinsurance.com/couple-hit-with-44000-flood-insurance-premium/,0,2,0,6
https://californiafloodinsurance.com/dont-roll-the-dice-on-flood-insurance/,0,2,0,8.5
https://californiafloodinsurance.com/excess-flood-insurance-commonplae-lenders/,0,1,0,2
https://californiafloodinsurance.com/flood-adjuster-visit/,0,9,0,10.11
https://californiafloodinsurance.com/flood-coverage-gaps/,0,11,0,8.45
https://californiafloodinsurance.com/flood-insurance-carrier-ratings/,0,25,0,8.6
https://californiafloodinsurance.com/flood-insurance-mortgage-clause/,0,32,0,8.84
https://californiafloodinsurance.com/flood-insurance-rates/#how-does-flood-zone-change-your-rate,0,19,0,10.26
https://californiafloodinsurance.com/flood-insurance-rates/#how-does-risk-rating-2-0-affect-your-rate,0,19,0,10.26
https://californiafloodinsurance.com/flood-insurance-rates/#what-are-typical-flood-insurance-rates-in-california,0,43,0,8.98
https://californiafloodinsurance.com/flood-insurance-rates/#what-determines-your-flood-insurance-rate,0,43,0,8.98
https://californiafloodinsurance.com/flood-zone-map/,0,2,0,9.5
https://californiafloodinsurance.com/get-a-quote/,0,1044,0,44.76
https://californiafloodinsurance.com/guides/,0,12,0,14.75
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-does-flood-insurance-get-paid-through-escrow,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-does-the-lesser-of-rule-work-in-practice,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-much-flood-insurance-does-a-lender-actually-require,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#is-the-lenders-minimum-enough-to-rebuild-my-home,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#what-happens-if-i-dont-carry-enough-flood-insurance,0,1,0,6
https://californiafloodinsurance.com/insights/,0,260,0,39.7
https://californiafloodinsurance.com/insights/page/2/?et_blog,0,3,0,10.67
https://californiafloodinsurance.com/is-flood-insurance-worth-purchasing/,0,3,0,5.67
https://californiafloodinsurance.com/long-beach-beach-flood-insurance/,0,1,0,2
https://californiafloodinsurance.com/master-flood-policies-hoas/#what-does-an-hoa-master-flood-policy-cover,0,1,0,2
https://californiafloodinsurance.com/master-flood-policies-hoas/#what-is-an-hoa-master-flood-policy,0,7,0,5
https://californiafloodinsurance.com/master-flood-policies-hoas/#when-is-a-master-flood-policy-required-for-an-hoa,0,6,0,5.5
https://californiafloodinsurance.com/navigating-flood-zone-x/#do-you-need-flood-insurance-in-zone-x,0,40,0,9.07
https://californiafloodinsurance.com/navigating-flood-zone-x/#how-much-does-flood-insurance-cost-in-flood-zone-x,0,76,0,9.08
https://californiafloodinsurance.com/navigating-flood-zone-x/#shaded-vs-unshaded-flood-zone-x-whats-the-difference,0,72,0,9
https://californiafloodinsurance.com/navigating-flood-zone-x/#what-is-flood-zone-x,0,76,0,9.08
https://californiafloodinsurance.com/navigating-flood-zone-x/#why-zone-x-isnt-no-risk-especially-in-california,0,38,0,8.55
https://californiafloodinsurance.com/private-flood-insurance-vs-fema/,0,205,0,16.29
https://californiafloodinsurance.com/resources/,0,536,0,62.34
https://californiafloodinsurance.com/san-diego-california-flood-insurance-resort-floods/,0,2,0,75
https://californiafloodinsurance.com/setting-flood-insurance-coverage-limits/,0,20,0,16.15
https://californiafloodinsurance.com/stockton-flood-insurance/,0,1006,0,12.12
https://californiafloodinsurance.com/tag/fema/,0,12,0,3.33
https://californiafloodinsurance.com/tag/flood-claims/,0,1,0,31
https://californiafloodinsurance.com/tag/nfip/,0,1,0,60
https://californiafloodinsurance.com/tag/san-diego-flood-insurance/,0,3,0,47
https://californiafloodinsurance.com/video/,0,66,0,51.98
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#do-i-need-flood-insurance-in-a-low-risk-zone,0,13,0,9.31
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#which-fema-flood-zones-require-flood-insurance,0,20,0,8.75
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#which-flood-zones-do-not-require-flood-insurance,0,13,0,8.69
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#who-actually-decides-whether-you-need-flood-insurance,0,2,0,8.5
https://californiafloodinsurance.com/which-zone-requires-flood-insurance,0,1,0,1
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/feature/ajax-data/,0,1,0,4
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/,0,1,0,25
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/feature/global-presets/Settings.php,0,1,0,5
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/feature/gutenberg/,0,1,0,3
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/frontend-builder/assets/scripts/,0,1,0,6
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/frontend-builder/assets/vendors/themes/,0,1,0,80
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/plugin-compat/,0,1,0,9
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/plugin-compat/styles/,0,1,0,8
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/scripts/stores/,0,1,0,66
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/widgets/,0,3,0,3.33
https://californiafloodinsurance.com/wp-includes/SimplePie/library/SimplePie/Content/,0,1,0,72
https://californiafloodinsurance.com/wp-includes/ai-client/,0,2,0,32
https://californiafloodinsurance.com/wp-includes/ai-client/adapters/,0,1,0,67
https://californiafloodinsurance.com/wp-includes/build/pages/,0,1,0,64
https://californiafloodinsurance.com/wp-includes/certificates/,0,1,0,90
https://californiafloodinsurance.com/wp-includes/class-requests.php,0,1,0,10
https://californiafloodinsurance.com/wp-includes/css/dist/admin-ui/,0,3,0,97.33
https://californiafloodinsurance.com/wp-includes/customize/,0,1,0,4
https://californiafloodinsurance.com/wp-includes/images/,0,1,0,2
https://californiafloodinsurance.com/wp-includes/images/crystal/,0,1,0,1
https://californiafloodinsurance.com/wp-includes/js/jcrop/,0,1,0,63
https://californiafloodinsurance.com/wp-includes/js/tinymce/utils/,0,1,0,116
https://californiafloodinsurance.com/wp-includes/php-ai-client/,0,1,0,68
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/,0,1,0,71
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Files/,0,1,0,75
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Operations/,0,1,0,74
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Providers/Http/,0,1,0,76
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Providers/Models/ImageGeneration/,0,1,0,79
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/,0,1,0,73
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/Http/,0,1,0,78
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/Nyholm/,0,1,0,77
https://californiafloodinsurance.com/wp-includes/sitemaps/,0,2,0,9
https://californiafloodinsurance.com/wp-includes/sodium_compat/lib/php72compat_const.php,0,1,0,6
