# site=https://californiafloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=2696
query,clicks,impressions,ctr,position
california flood insurance,73,1768,4.13,8.5
flood insurance california,39,5734,0.68,6.41
rebecca byrom insurance agency inc,7,66,10.61,6.29
california flood insurance company,6,50,12.0,1.02
california flood insurance services,6,183,3.28,1.38
cheap flood insurance california,5,221,2.26,15.83
ca flood insurance,4,450,0.89,8.77
flood insurance in california,4,436,0.92,20.01
flood insurance quote california,4,169,2.37,7.95
flood insurance san diego,4,287,1.39,13.47
flood zone x,4,1183,0.34,12.46
is flood insurance required in california,4,40,10.0,6.42
flood insurance quote,3,1232,0.24,40.32
855-225-3566,2,45,4.44,1.24
california flood insurance reviews,2,64,3.12,6.94
flood insurance rates by zip code,2,47,4.26,41.74
flood zone a require flood insurance,2,11,18.18,6.73
how much is flood insurance in california,2,170,1.18,6.33
(855) 225-3566,1,57,1.75,1.05
90027,1,1,100,4
91802,1,1,100,6
95242,1,1,100,5
ae flood zone requirements,1,40,2.5,25.02
ah flood zone,1,41,2.44,7.93
ao flood zone meaning,1,6,16.67,1.17
bfe location,1,37,2.7,14.46
ca,1,3,33.33,8.67
california flood insurance agency,1,124,0.81,3.77
condo flood insurance,1,226,0.44,29.4
cost of flood insurance,1,573,0.17,33.87
cost of flood insurance in california,1,58,1.72,11.22
do i need flood insurance by address,1,38,2.63,14.61
do i need flood insurance in zone x,1,298,0.34,11.04
does my property require flood insurance,1,3,33.33,5
does zone x need flood insurance,1,35,2.86,17.6
fema flood zone ae,1,26,3.85,6.65
fema flood zone ae meaning,1,133,0.75,15.14
fema flood zone x meaning,1,23,4.35,12.22
fema zone ae meaning,1,44,2.27,3.09
fema zone ve meaning,1,44,2.27,10.36
fema zone x,1,112,0.89,8.87
fema zone x meaning,1,25,4.0,9.2
fema zone x shaded meaning,1,15,6.67,8.07
flood insurance ca,1,54,1.85,12.76
flood insurance for zone ae,1,23,4.35,19.3
flood insurance lesser of three,1,13,7.69,6.08
flood insurance rates by address,1,2,50.0,2.5
flood zone ae require flood insurance,1,39,2.56,16.97
flood zone d require flood insurance,1,18,5.56,5.11
flood zone x require flood insurance,1,73,1.37,13.59
