# site=sc-domain:californiafloodinsurance.com start=2026-05-13 end=2026-08-11 rows=105
page,clicks,impressions,ctr,position
https://californiafloodinsurance.com/,35,1789,1.96,14.05
https://californiafloodinsurance.com/how-much-does-flood-insurance-cost/,20,2866,0.7,18.15
http://www.californiafloodinsurance.com/,17,1406,1.21,7.02
https://californiafloodinsurance.com/el-nino-california-flood-risk/,17,525,3.24,5.21
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/,14,2306,0.61,7.93
https://californiafloodinsurance.com/flood-insurance-rates/,12,1445,0.83,25.5
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/,11,1252,0.88,6.69
https://californiafloodinsurance.com/navigating-flood-zone-x/,7,1976,0.35,7.83
https://californiafloodinsurance.com/contact-us/,6,470,1.28,27.29
https://californiafloodinsurance.com/do-you-need-flood-insurance/,6,577,1.04,36.71
https://californiafloodinsurance.com/flood-zone-ae/,6,1686,0.36,14.56
https://californiafloodinsurance.com/when-is-flood-insurance-required/,6,820,0.73,29.5
https://californiafloodinsurance.com/loss-of-use-coverage-in-flood-insurance/,5,275,1.82,8.46
https://californiafloodinsurance.com/master-flood-policies-hoas/,5,486,1.03,13.08
https://californiafloodinsurance.com/understanding-base-flood-elevation-bfe/,5,798,0.63,11.56
https://californiafloodinsurance.com/comparing-the-admitted-vs-non-admitted-insurance-markets/,4,516,0.78,8.95
https://californiafloodinsurance.com/flood-zone-ah-and-ao/,4,1042,0.38,12.06
https://californiafloodinsurance.com/faqs/,3,252,1.19,34.43
https://californiafloodinsurance.com/flood-zone-v-and-ve/,3,716,0.42,17.29
https://californiafloodinsurance.com/sacramento-flood-insurance/,3,206,1.46,12.33
https://californiafloodinsurance.com/excess-flood-insurance/,2,72,2.78,32.69
https://californiafloodinsurance.com/hiscox-flood-plus-comprehensive-flood-insurance-coverage/,2,97,2.06,10.48
https://californiafloodinsurance.com/long-beach-flood-insurance/,2,123,1.63,9.12
https://californiafloodinsurance.com/los-angeles-flood-insurance/,2,279,0.72,14.99
https://californiafloodinsurance.com/san-diego-flood-insurance/,2,644,0.31,10.83
https://californiafloodinsurance.com/aaron-farmer/,1,48,2.08,6.83
https://californiafloodinsurance.com/california-flood-insurance-quotes/,1,283,0.35,49.76
https://californiafloodinsurance.com/flood-claim-guide/,1,274,0.36,4.59
https://californiafloodinsurance.com/flood-zone-a/,1,590,0.17,25.94
https://californiafloodinsurance.com/fresno-flood-insurance/,1,334,0.3,7.87
https://californiafloodinsurance.com/how-risk-rating-2-0-affects-federal-flood-insurance-policy-holders/,1,37,2.7,18.51
https://californiafloodinsurance.com/mobile/contact.php,1,182,0.55,14.65
https://californiafloodinsurance.com/post-wildfire-debris-flow-flood-insurance/,1,19,5.26,11.16
https://californiafloodinsurance.com/privacy-policy/,1,20,5.0,8.95
https://californiafloodinsurance.com/residential/,1,1086,0.09,37.08
https://californiafloodinsurance.com/service-center/,1,58,1.72,39.05
https://californiafloodinsurance.com/after-a-flood/,0,18,0,10.94
https://californiafloodinsurance.com/areas-we-serve/,0,289,0,25.11
https://californiafloodinsurance.com/atmospheric-rivers-california-flood-insurance/,0,14,0,11.93
https://californiafloodinsurance.com/before-a-flood/,0,16,0,12.31
https://californiafloodinsurance.com/california-flood-preparedness-week-starts-now/,0,8,0,7.38
https://californiafloodinsurance.com/can-flood-insurance-drop-you/,0,323,0,7.53
https://californiafloodinsurance.com/claims/,0,31,0,60.68
https://californiafloodinsurance.com/commercial-flood-insurance/,0,1272,0,28.3
https://californiafloodinsurance.com/excess-flood-insurance-commonplae-lenders/,0,1,0,2
https://californiafloodinsurance.com/facts-about-floods/,0,8,0,42.75
https://californiafloodinsurance.com/flood-adjuster-visit/,0,9,0,10.11
https://californiafloodinsurance.com/flood-coverage-gaps/,0,11,0,8.45
https://californiafloodinsurance.com/flood-insurance-carrier-ratings/,0,25,0,8.6
https://californiafloodinsurance.com/flood-insurance-mortgage-clause/,0,32,0,8.84
https://californiafloodinsurance.com/flood-insurance-rates/#how-does-flood-zone-change-your-rate,0,19,0,10.26
https://californiafloodinsurance.com/flood-insurance-rates/#how-does-risk-rating-2-0-affect-your-rate,0,19,0,10.26
https://californiafloodinsurance.com/flood-insurance-rates/#what-are-typical-flood-insurance-rates-in-california,0,43,0,8.98
https://californiafloodinsurance.com/flood-insurance-rates/#what-determines-your-flood-insurance-rate,0,43,0,8.98
https://californiafloodinsurance.com/flood-zone-map/,0,2,0,9.5
https://californiafloodinsurance.com/get-a-quote/,0,335,0,21.91
https://californiafloodinsurance.com/guides/,0,12,0,14.75
https://californiafloodinsurance.com/homeownwers-association-flood-insurance/,0,145,0,42.46
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-does-flood-insurance-get-paid-through-escrow,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-does-the-lesser-of-rule-work-in-practice,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#how-much-flood-insurance-does-a-lender-actually-require,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#is-the-lenders-minimum-enough-to-rebuild-my-home,0,1,0,6
https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/#what-happens-if-i-dont-carry-enough-flood-insurance,0,1,0,6
https://californiafloodinsurance.com/insights/,0,45,0,38.93
https://californiafloodinsurance.com/master-flood-policies-hoas/#what-does-an-hoa-master-flood-policy-cover,0,1,0,2
https://californiafloodinsurance.com/master-flood-policies-hoas/#what-is-an-hoa-master-flood-policy,0,7,0,5
https://californiafloodinsurance.com/master-flood-policies-hoas/#when-is-a-master-flood-policy-required-for-an-hoa,0,6,0,5.5
https://californiafloodinsurance.com/navigating-flood-zone-x/#do-you-need-flood-insurance-in-zone-x,0,40,0,9.07
https://californiafloodinsurance.com/navigating-flood-zone-x/#how-much-does-flood-insurance-cost-in-flood-zone-x,0,76,0,9.08
https://californiafloodinsurance.com/navigating-flood-zone-x/#shaded-vs-unshaded-flood-zone-x-whats-the-difference,0,72,0,9
https://californiafloodinsurance.com/navigating-flood-zone-x/#what-is-flood-zone-x,0,76,0,9.08
https://californiafloodinsurance.com/navigating-flood-zone-x/#why-zone-x-isnt-no-risk-especially-in-california,0,38,0,8.55
https://californiafloodinsurance.com/private-flood-insurance-vs-fema/,0,205,0,16.29
https://californiafloodinsurance.com/resources/,0,96,0,71.92
https://californiafloodinsurance.com/riverside-flood-insurance/,0,78,0,16.31
https://californiafloodinsurance.com/san-diego-california-flood-insurance-resort-floods/,0,2,0,75
https://californiafloodinsurance.com/san-jose-flood-insurance/,0,570,0,8.92
https://californiafloodinsurance.com/setting-flood-insurance-coverage-limits/,0,20,0,16.15
https://californiafloodinsurance.com/stockton-flood-insurance/,0,261,0,10.88
https://californiafloodinsurance.com/tag/flood-claims/,0,1,0,31
https://californiafloodinsurance.com/tag/nfip/,0,1,0,60
https://californiafloodinsurance.com/tag/san-diego-flood-insurance/,0,3,0,47
https://californiafloodinsurance.com/terms-of-service/,0,11,0,52.09
https://californiafloodinsurance.com/video/,0,4,0,48.25
https://californiafloodinsurance.com/what-does-flood-insurance-not-cover/,0,2,0,16.5
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#do-i-need-flood-insurance-in-a-low-risk-zone,0,13,0,9.31
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#which-fema-flood-zones-require-flood-insurance,0,20,0,8.75
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#which-flood-zones-do-not-require-flood-insurance,0,13,0,8.69
https://californiafloodinsurance.com/which-flood-zone-requires-flood-insurance/#who-actually-decides-whether-you-need-flood-insurance,0,2,0,8.5
https://californiafloodinsurance.com/wp-content/themes/Divi/includes/builder/frontend-builder/assets/vendors/themes/,0,1,0,80
https://californiafloodinsurance.com/wp-includes/SimplePie/library/SimplePie/Content/,0,1,0,72
https://californiafloodinsurance.com/wp-includes/ai-client/,0,2,0,32
https://californiafloodinsurance.com/wp-includes/ai-client/adapters/,0,1,0,67
https://californiafloodinsurance.com/wp-includes/build/pages/,0,1,0,64
https://californiafloodinsurance.com/wp-includes/certificates/,0,1,0,90
https://californiafloodinsurance.com/wp-includes/js/jcrop/,0,1,0,63
https://californiafloodinsurance.com/wp-includes/php-ai-client/,0,1,0,68
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/,0,1,0,71
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Files/,0,1,0,75
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Operations/,0,1,0,74
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Providers/Http/,0,1,0,76
https://californiafloodinsurance.com/wp-includes/php-ai-client/src/Providers/Models/ImageGeneration/,0,1,0,79
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/,0,1,0,73
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/Http/,0,1,0,78
https://californiafloodinsurance.com/wp-includes/php-ai-client/third-party/Nyholm/,0,1,0,77
