# site=https://statewidefloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=91
date,clicks,impressions,ctr,position
2026-05-13,1,61,1.64,34.75
2026-05-14,0,70,0,36.7
2026-05-15,0,82,0,32.3
2026-05-16,0,62,0,53.37
2026-05-17,0,62,0,49.56
2026-05-18,0,96,0,43.24
2026-05-19,1,88,1.14,44.25
2026-05-20,0,96,0,45.86
2026-05-21,1,83,1.2,37.39
2026-05-22,0,82,0,48.45
2026-05-23,1,81,1.23,52.35
2026-05-24,0,84,0,51.92
2026-05-25,0,120,0,49.77
2026-05-26,0,103,0,43.16
2026-05-27,0,129,0,45.7
2026-05-28,0,82,0,37.57
2026-05-29,3,134,2.24,44.24
2026-05-30,2,86,2.33,50.9
2026-05-31,0,75,0,52.67
2026-06-01,1,87,1.15,35.95
2026-06-02,1,70,1.43,33.53
2026-06-03,1,121,0.83,47.04
2026-06-04,2,103,1.94,43.98
2026-06-05,0,78,0,38.58
2026-06-06,1,71,1.41,48.94
2026-06-07,0,73,0,56.96
2026-06-08,1,80,1.25,40.7
2026-06-09,0,76,0,37.72
2026-06-10,0,71,0,30.41
2026-06-11,0,70,0,38.34
2026-06-12,2,89,2.25,42.01
2026-06-13,0,72,0,47.46
2026-06-14,0,56,0,37.88
2026-06-15,0,117,0,39.27
2026-06-16,1,89,1.12,34.22
2026-06-17,0,96,0,37.82
2026-06-18,0,72,0,42.01
2026-06-19,0,81,0,38.28
2026-06-20,0,104,0,51.37
2026-06-21,0,74,0,49.91
2026-06-22,1,95,1.05,36.53
2026-06-23,0,90,0,43.16
2026-06-24,1,125,0.8,44.7
2026-06-25,1,167,0.6,48.69
2026-06-26,0,258,0,46.0
2026-06-27,0,268,0,47.42
2026-06-28,0,246,0,46.12
2026-06-29,2,277,0.72,38.43
2026-06-30,4,224,1.79,35.04
2026-07-01,0,191,0,41.98
2026-07-02,0,158,0,36.71
2026-07-03,0,185,0,37.55
2026-07-04,0,145,0,49.28
2026-07-05,1,209,0.48,39.91
2026-07-06,0,247,0,36.56
2026-07-07,2,265,0.75,33.27
2026-07-08,2,323,0.62,34.53
2026-07-09,1,294,0.34,34.12
2026-07-10,0,270,0,33.1
2026-07-11,0,245,0,39.78
2026-07-12,1,248,0.4,36.72
2026-07-13,2,299,0.67,33.62
2026-07-14,2,397,0.5,33.52
2026-07-15,2,287,0.7,28.45
2026-07-16,2,404,0.5,31.75
2026-07-17,2,587,0.34,31.38
2026-07-18,2,416,0.48,29.26
2026-07-19,1,503,0.2,28.83
2026-07-20,2,697,0.29,25.05
2026-07-21,3,437,0.69,24.55
2026-07-22,0,452,0,23.58
2026-07-23,5,445,1.12,22.93
2026-07-24,5,458,1.09,27.77
2026-07-25,0,361,0,28.23
2026-07-26,1,438,0.23,29.0
2026-07-27,2,557,0.36,25.33
2026-07-28,1,497,0.2,28.67
2026-07-29,2,579,0.35,33.47
2026-07-30,1,556,0.18,28.86
2026-07-31,2,403,0.5,24.87
2026-08-01,1,504,0.2,33.15
2026-08-02,1,418,0.24,26.67
2026-08-03,5,734,0.68,28.2
2026-08-04,3,622,0.48,30.37
2026-08-05,4,577,0.69,28.21
2026-08-06,2,602,0.33,27.76
2026-08-07,1,550,0.18,27.31
2026-08-08,0,648,0,33.64
2026-08-09,3,790,0.38,29.36
2026-08-10,6,1060,0.57,25.74
2026-08-11,4,963,0.42,24.81
