# site=https://statewidefloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=77
page,clicks,impressions,ctr,position
https://statewidefloodinsurance.com/,15,351,4.27,13.76
https://statewidefloodinsurance.com/loss-of-use-coverage-in-flood-insurance/,10,666,1.5,12.68
https://statewidefloodinsurance.com/texas-flood-insurance/,9,2329,0.39,24.77
https://statewidefloodinsurance.com/contact-us/,6,601,1.0,24.83
https://statewidefloodinsurance.com/massachusetts-flood-insurance/,6,1287,0.47,11.82
https://statewidefloodinsurance.com/navigating-flood-zone-x/,5,3209,0.16,43.16
https://statewidefloodinsurance.com/washington-flood-insurance/,5,564,0.89,26.77
https://statewidefloodinsurance.com/alabama-flood-insurance/,4,809,0.49,20.71
https://statewidefloodinsurance.com/connecticut-flood-insurance/,4,821,0.49,12.76
https://statewidefloodinsurance.com/hiscox-flood-plus-comprehensive-flood-insurance-coverage/,4,202,1.98,6.96
https://statewidefloodinsurance.com/private-flood-insurance-coverage-limits/,4,58,6.9,5.07
https://statewidefloodinsurance.com/flood-insurance-cost-by-state/,3,247,1.21,27.85
https://statewidefloodinsurance.com/faqs/,2,209,0.96,27.97
https://statewidefloodinsurance.com/indiana-flood-insurance/,2,180,1.11,12.46
https://statewidefloodinsurance.com/master-flood-policies-hoas/,2,340,0.59,34.16
https://statewidefloodinsurance.com/new-york-flood-insurance/,2,325,0.62,48.14
https://statewidefloodinsurance.com/private-flood-insurance-vs-nfip/,2,1344,0.15,31.42
https://statewidefloodinsurance.com/switch-nfip-to-private-flood/,2,56,3.57,9.2
https://statewidefloodinsurance.com/aaron-farmer/,1,44,2.27,7.84
https://statewidefloodinsurance.com/excess-flood-insurance/,1,48,2.08,54.56
https://statewidefloodinsurance.com/georgia-flood-insurance/,1,97,1.03,24.1
https://statewidefloodinsurance.com/hawaii-flood-insurance/,1,36,2.78,15.64
https://statewidefloodinsurance.com/lloyds-of-london-flood-insurance/,1,52,1.92,10.35
https://statewidefloodinsurance.com/louisiana-flood-insurance/,1,216,0.46,32.01
https://statewidefloodinsurance.com/michigan-flood-insurance/,1,312,0.32,18.44
https://statewidefloodinsurance.com/missouri-flood-insurance/,1,164,0.61,12.74
https://statewidefloodinsurance.com/new-mexico-flood-insurance/,1,563,0.18,10.47
https://statewidefloodinsurance.com/nfip-risk-rating-2-premium-increases/,1,19,5.26,5.95
https://statewidefloodinsurance.com/north-carolina-flood-insurance/,1,418,0.24,31.65
https://statewidefloodinsurance.com/ohio-flood-insurance/,1,732,0.14,17.38
https://statewidefloodinsurance.com/oregon-flood-insurance/,1,673,0.15,20.3
https://statewidefloodinsurance.com/privacy-policy/,1,159,0.63,7.89
https://statewidefloodinsurance.com/residential/,1,455,0.22,35.47
https://statewidefloodinsurance.com/south-carolina-flood-insurance/,1,414,0.24,32.05
https://statewidefloodinsurance.com/after-a-flood/,0,1,0,11
https://statewidefloodinsurance.com/before-a-flood/,0,12,0,14.67
https://statewidefloodinsurance.com/can-flood-insurance-be-sold-anywhere/,0,25,0,6.08
https://statewidefloodinsurance.com/can-flood-insurance-drop-you/,0,10,0,8.8
https://statewidefloodinsurance.com/claims/,0,148,0,50.46
https://statewidefloodinsurance.com/colorado-flood-insurance/,0,52,0,14.48
https://statewidefloodinsurance.com/commercial-flood-insurance/,0,1482,0,72.57
https://statewidefloodinsurance.com/elevation-certificates-2026/,0,48,0,14.46
https://statewidefloodinsurance.com/fema-disaster-assistance-vs-flood-insurance/,0,12,0,13.33
https://statewidefloodinsurance.com/flood-adjuster-visit/,0,1,0,10
https://statewidefloodinsurance.com/flood-claim-guide/,0,1,0,7
https://statewidefloodinsurance.com/flood-coverage-gaps/,0,3,0,5
https://statewidefloodinsurance.com/florida-excess-flood-nfip-cap/,0,8,0,6.38
https://statewidefloodinsurance.com/florida-flood-insurance/,0,1008,0,42.19
https://statewidefloodinsurance.com/get-a-quote/,0,91,0,40
https://statewidefloodinsurance.com/high-risk-flood-insurance/,0,5,0,7.8
https://statewidefloodinsurance.com/homeowners-association-flood-insurance/,0,1118,0,27.6
https://statewidefloodinsurance.com/how-flood-claims-get-paid/,0,45,0,11.22
https://statewidefloodinsurance.com/illinois-flood-insurance/,0,63,0,9.95
https://statewidefloodinsurance.com/insights/,0,31,0,4.77
https://statewidefloodinsurance.com/kentucky-flood-insurance/,0,40,0,11.82
https://statewidefloodinsurance.com/lender-accept-private-flood-insurance/,0,70,0,16.83
https://statewidefloodinsurance.com/lender-flood-insurance-requirements-over-250k/,0,79,0,24.87
https://statewidefloodinsurance.com/maryland-flood-insurance/,0,75,0,15.43
https://statewidefloodinsurance.com/mississippi-flood-insurance/,0,91,0,18.16
https://statewidefloodinsurance.com/nevada-flood-insurance/,0,130,0,25.92
https://statewidefloodinsurance.com/new-jersey-flood-insurance/,0,147,0,27.41
https://statewidefloodinsurance.com/nfip-alternatives/,0,21,0,13.86
https://statewidefloodinsurance.com/pennsylvania-flood-insurance/,0,40,0,27.35
https://statewidefloodinsurance.com/private-flood-insurance-cost/,0,88,0,51.91
https://statewidefloodinsurance.com/private-flood-insurance-vs-nfip-which-is-better-in-2026/,0,1,0,1
https://statewidefloodinsurance.com/private-flood-vs-nfip-coverage/,0,8,0,7.25
https://statewidefloodinsurance.com/resources/,0,22,0,6
https://statewidefloodinsurance.com/sandy-flood-vicitms/,0,2,0,9
https://statewidefloodinsurance.com/service-center/,0,46,0,20.48
https://statewidefloodinsurance.com/storm-surge-flood-not-wind/,0,27,0,26.67
https://statewidefloodinsurance.com/tag/long-beach-flood-insurance/,0,19,0,19.84
https://statewidefloodinsurance.com/tennessee-flood-insurance/,0,107,0,30.72
https://statewidefloodinsurance.com/terms-of-service/,0,135,0,7.79
https://statewidefloodinsurance.com/virginia-flood-insurance/,0,28,0,39.11
https://statewidefloodinsurance.com/what-does-flood-insurance-not-cover/,0,491,0,78.34
https://statewidefloodinsurance.com/when-is-flood-insurance-required/,0,849,0,67.26
https://statewidefloodinsurance.com/which-flood-zone-requires-flood-insurance/,0,275,0,64.67
