Alameda	Bay Area
Alpine	Sierra Range/Foothills
Amador	Sierra Range/Foothills
Butte	Sacramento Valley
Calaveras	Sierra Range/Foothills
Colusa	Sacramento Valley
Contra Costa	Bay Area
Del Norte	North Coast
El Dorado	Sierra Range/Foothills
Fresno	Central Valley
Glenn	Sacramento Valley
Humboldt	North Coast
Imperial	Southern California
Inyo	Sierra Range/Foothills
Kern	Central Valley
Kings	Central Valley
Lake	North Coast
Lassen	Sierra Range/Foothills
Los Angeles	Los Angeles
Madera	Central Valley
Marin	Bay Area
Mariposa	Sierra Range/Foothills
Mendocino	North Coast
Merced	Central Valley
Modoc	Far North
Mono	Sierra Range/Foothills
Monterey	Central Coast
Napa	Bay Area
Nevada	Sierra Range/Foothills
Orange	Southern California
Placer	Sierra Range/Foothills
Plumas	Sierra Range/Foothills
Riverside	Southern California
Sacramento	Sacramento Valley
San Benito	Central Coast
San Bernardino	Southern California
San Diego	Southern California
San Francisco	Bay Area
San Joaquin	Central Valley
San Luis Obispo	Central Coast
San Mateo	Bay Area
Santa Barbara	Central Coast
Santa Clara	Bay Area
Santa Cruz	Central Coast
Shasta	Far North
Sierra	Sierra Range/Foothills
Siskiyou	Far North
Solano	Bay Area
Sonoma	Bay Area
Stanislaus	Central Valley
Sutter	Sacramento Valley
Tehama	Sacramento Valley
Trinity	Far North
Tulare	Central Valley
Tuolumne	Sierra Range/Foothills
Ventura	Central Coast
Yolo	Sacramento Valley
Yuba	Sacramento Valley
