type,id,slug,url,title,title_len,desc,desc_len,canonical,robots,h1,words
pages,242930,indiana-flood-insurance,https://statewidefloodinsurance.com/indiana-flood-insurance/,Indiana Flood Insurance - Statewide Flood Insurance,51,,0,https://statewidefloodinsurance.com/indiana-flood-insurance/,max-image-preview:large,Indiana Flood Insurance,1024
pages,242929,colorado-flood-insurance,https://statewidefloodinsurance.com/colorado-flood-insurance/,Colorado Flood Insurance - Statewide Flood Insurance,52,,0,https://statewidefloodinsurance.com/colorado-flood-insurance/,max-image-preview:large,Colorado Flood Insurance,1019
pages,242928,nevada-flood-insurance,https://statewidefloodinsurance.com/nevada-flood-insurance/,Nevada Flood Insurance - Statewide Flood Insurance,50,,0,https://statewidefloodinsurance.com/nevada-flood-insurance/,max-image-preview:large,Nevada Flood Insurance,1046
pages,242927,kentucky-flood-insurance,https://statewidefloodinsurance.com/kentucky-flood-insurance/,Kentucky Flood Insurance - Statewide Flood Insurance,52,,0,https://statewidefloodinsurance.com/kentucky-flood-insurance/,max-image-preview:large,Kentucky Flood Insurance,1017
pages,242926,missouri-flood-insurance,https://statewidefloodinsurance.com/missouri-flood-insurance/,Missouri Flood Insurance - Statewide Flood Insurance,52,,0,https://statewidefloodinsurance.com/missouri-flood-insurance/,max-image-preview:large,Missouri Flood Insurance,1029
pages,242924,new-mexico-flood-insurance,https://statewidefloodinsurance.com/new-mexico-flood-insurance/,New Mexico Flood Insurance - Statewide Flood Insurance,54,,0,https://statewidefloodinsurance.com/new-mexico-flood-insurance/,max-image-preview:large,New Mexico Flood Insurance,1098
pages,242886,hawaii-flood-insurance,https://statewidefloodinsurance.com/hawaii-flood-insurance/,Hawaii Flood Insurance - Statewide Flood Insurance,50,,0,https://statewidefloodinsurance.com/hawaii-flood-insurance/,max-image-preview:large,Hawaii Flood Insurance,937
pages,242885,mississippi-flood-insurance,https://statewidefloodinsurance.com/mississippi-flood-insurance/,Mississippi Flood Insurance - Statewide Flood Insurance,55,,0,https://statewidefloodinsurance.com/mississippi-flood-insurance/,max-image-preview:large,Mississippi Flood Insurance,946
pages,242884,maryland-flood-insurance,https://statewidefloodinsurance.com/maryland-flood-insurance/,Maryland Flood Insurance - Statewide Flood Insurance,52,,0,https://statewidefloodinsurance.com/maryland-flood-insurance/,max-image-preview:large,Maryland Flood Insurance,935
pages,242883,pennsylvania-flood-insurance,https://statewidefloodinsurance.com/pennsylvania-flood-insurance/,Pennsylvania Flood Insurance - Statewide Flood Insurance,56,,0,https://statewidefloodinsurance.com/pennsylvania-flood-insurance/,max-image-preview:large,Pennsylvania Flood Insurance,936
pages,242882,virginia-flood-insurance,https://statewidefloodinsurance.com/virginia-flood-insurance/,Virginia Flood Insurance - Statewide Flood Insurance,52,,0,https://statewidefloodinsurance.com/virginia-flood-insurance/,max-image-preview:large,Virginia Flood Insurance,1005
pages,242857,aaron-farmer,https://statewidefloodinsurance.com/aaron-farmer/,"Aaron Farmer | Flood Insurance Specialist, Lloyd's MGA",54,"Meet Aaron Farmer — President of Statewide Flood Insurance, licensed flood specialist and Lloyd's of London coverholder who has helped 40,000+ homeowners nationwide.",165,https://statewidefloodinsurance.com/aaron-farmer/,max-image-preview:large,Aaron Farmer,495
pages,242849,flood-insurance-cost-by-state,https://statewidefloodinsurance.com/flood-insurance-cost-by-state/,Flood Insurance Cost by State (2026 Report),43,"Our 2026 report on flood insurance cost and risk across 17 key U.S. states: average NFIP premiums, the coverage gap, and rising out-of-zone flooding.",149,https://statewidefloodinsurance.com/flood-insurance-cost-by-state/,max-image-preview:large,Flood Insurance Cost & Risk by State: 2026 Report,893
pages,242835,oregon-flood-insurance,https://statewidefloodinsurance.com/oregon-flood-insurance/,Oregon Flood Insurance | Private & NFIP Quotes,46,"Oregon flood insurance from a national agency. Private policies through Lloyd's of London markets — better coverage, higher limits, often 30-50% cheaper than NFIP.",163,https://statewidefloodinsurance.com/oregon-flood-insurance/,max-image-preview:large,Oregon Flood Insurance,894
pages,242834,washington-flood-insurance,https://statewidefloodinsurance.com/washington-flood-insurance/,Washington Flood Insurance | Private & NFIP Quotes,50,"Compare private and NFIP flood insurance in Washington. Better coverage, higher limits, often cheaper. Shop Lloyd's of London markets. Quote in 2 minutes.",154,https://statewidefloodinsurance.com/washington-flood-insurance/,max-image-preview:large,Washington Flood Insurance,857
pages,242833,massachusetts-flood-insurance,https://statewidefloodinsurance.com/massachusetts-flood-insurance/,Massachusetts Flood Insurance | Private & NFIP Quotes,53,,0,https://statewidefloodinsurance.com/massachusetts-flood-insurance/,max-image-preview:large,Massachusetts Flood Insurance,861
pages,242832,connecticut-flood-insurance,https://statewidefloodinsurance.com/connecticut-flood-insurance/,Connecticut Flood Insurance | Private & NFIP Quotes,51,"Connecticut flood insurance done right. Compare private vs. NFIP, get higher limits and often 30-50% lower rates. Free quote in under 2 minutes or call us.",155,https://statewidefloodinsurance.com/connecticut-flood-insurance/,max-image-preview:large,Connecticut Flood Insurance,883
