city,policies,median_all_in
LOS ANGELES,71,748
SAN RAFAEL,58,751
HUNTINGTON BEACH,53,784
SAN JOSE,47,805
SAN DIEGO,45,722
LONG BEACH,41,748
WATSONVILLE,30,693
MILPITAS,29,753
CORTE MADERA,24,832
PALO ALTO,23,847
ESCONDIDO,22,733
NEWPORT BEACH,21,805
SACRAMENTO,21,702
CLEARLAKE OAKS,20,780
VISALIA,20,465
GARDEN GROVE,20,659
MARTINEZ,19,803
NOVATO,17,787
MERCED,16,543
SUISUN CITY,16,867
SAN LEANDRO,15,797
UKIAH,15,559
SANTA BARBARA,15,765
SAN ANSELMO,14,751
CHICO,14,671
MENLO PARK,14,801
DURHAM,12,773
CITRUS HEIGHTS,12,689
SANTA CRUZ,12,589
THOUSAND PALMS,12,647
TWENTYNINE PALMS,12,516
SANTA ANA,12,575
MILL VALLEY,12,761
LAKEPORT,12,749
REDDING,12,824
RED BLUFF,12,666
PLEASANT HILL,11,825
INDIO,11,645
CAMARILLO,11,563
HESPERIA,11,562
APPLE VALLEY,10,647
MARINA DEL REY,10,774
POWAY,10,813
THOUSAND OAKS,10,811
