risk_state,properties,median,p25,p75
CA,3130,719,509,867
WA,439,688,483,835
TX,367,670,509,970
FL,342,681,492,984
OR,219,760,639,883
AZ,203,547,464,800
SC,197,609,481,921
NC,168,712,486,1069
NY,167,703,472,1168
MA,156,709,478,997
GA,152,510,365,807
OH,150,620,475,844
PA,136,534,380,799
NJ,134,748,430,1143
CT,134,869,623,1162
MI,121,369,359,559
IL,115,518,363,766
TN,104,671,475,963
AL,99,782,539,1592
VA,95,649,563,880
OK,93,465,350,675
HI,59,666,504,933
LA,57,601,473,1025
MO,54,533,473,793
MS,53,656,469,991
NM,52,469,464,824
CO,51,703,465,1168
