state,zone,properties,median
CA,A,480,711
CA,A (numbered),82,773
CA,AE,1486,763
CA,AH,124,710
CA,AO,471,658
CA,D,19,514
CA,X,455,516
PA,A,25,644
PA,AE,70,558
PA,X,38,435
IL,A,18,595
IL,AE,63,513
IL,X,30,446
OR,A,37,726
OR,AE,151,782
OR,X,21,649
TX,A,32,582
TX,AE,108,892
TX,X,212,614
OK,A,20,470
OK,AE,47,519
OK,X,23,372
NM,A,11,466
NM,AE,18,807
AL,A,17,801
AL,AE,57,1000
AL,X,20,556
CT,A,15,702
CT,AE,100,957
CT,X,17,608
MA,A,14,608
MA,AE,95,766
MA,X,36,498
WA,A,60,719
WA,A (numbered),39,623
WA,AE,229,706
WA,AH,11,759
WA,AO,36,644
WA,X,55,598
TN,A,22,622
TN,AE,49,746
TN,X,33,494
VA,AE,53,736
VA,X,37,599
MO,AE,28,681
MO,X,17,474
MI,A,15,469
MI,AE,77,369
MI,X,25,367
NJ,AE,90,877
NJ,X,23,429
SC,AE,66,799
SC,X,129,576
GA,A,38,532
GA,AE,47,730
GA,X,67,384
OH,A,21,741
OH,AE,91,674
OH,X,36,530
NY,A,25,677
NY,A (numbered),15,1178
NY,AE,84,732
NY,X,36,548
AZ,A,36,558
AZ,AE,107,581
AZ,AO,23,464
AZ,X,32,568
NC,AE,55,945
NC,X,105,621
MS,AE,34,767
MS,X,14,640
FL,A,24,562
FL,AE,103,895
FL,AH,13,824
FL,X,198,617
CO,AE,24,668
CO,X,15,465
HI,AE,16,724
HI,D,14,762
HI,X,20,525
LA,X,42,497
